id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze,population,gdp_per_capita
303297765,Adem Boudjemline,ALG,male,2/28/94,1.8,85.0,wrestling,0,0,0,39666519.0,4206.03123244958
993710181,Adenizia da Silva,BRA,female,12/18/86,1.87,65.0,volleyball,0,0,0,207847528.0,8538.5899749574
878847288,Adham Ahmed Saleh Kahk,EGY,male,6/27/93,1.6,66.0,wrestling,0,0,0,91508084.0,3614.74676616271
75289002,Adilbek Niyazymbetov,KAZ,male,5/19/89,1.8,,boxing,0,1,0,17544126.0,10509.9810699442
930618704,Adilson da Silva,BRA,male,1/24/72,1.7,79.0,golf,0,0,0,207847528.0,8538.5899749574
890593128,Aditi Ashok,IND,female,3/29/98,1.73,57.0,golf,0,0,0,1311050527.0,1598.25903421916
456381770,Adlan Abdurashidov,RUS,male,7/31/90,1.72,,boxing,0,0,0,144096812.0,9092.58053606884
256936407,Adnan Maric,SWE,male,2/17/97,1.83,78.0,football,0,0,0,9798871.0,50579.6736486777
637015297,Adrian Andres Puentes Perez,CUB,male,7/3/88,1.71,76.0,archery,0,0,0,11389562.0,
787208883,Adrian Baches,BRA,male,4/7/90,1.84,83.0,aquatics,0,0,0,207847528.0,8538.5899749574
941631433,Adrian Blocki,POL,male,4/11/90,1.74,62.0,athletics,0,0,0,37999494.0,12554.5475536313
839462979,Adrian Chacon,CUB,male,12/10/88,1.87,90.0,athletics,0,0,0,11389562.0,
366608701,Adrian Dziolko,POL,male,2/22/90,1.89,85.0,badminton,0,0,0,37999494.0,12554.5475536313
679510102,Adrian Eduardo Goide Arredondo,CUB,male,6/26/98,1.91,80.0,volleyball,0,0,0,11389562.0,
242818896,Adrian Edward Zielinski,POL,male,3/28/89,1.7,94.0,weightlifting,0,0,0,37999494.0,12554.5475536313
400838338,Adrian Gavira Collado,ESP,male,9/17/87,1.93,89.0,volleyball,0,0,0,46418269.0,25831.5823052954
557196811,Adrian Gomboc,SLO,male,1/20/95,1.7,69.0,judo,0,0,0,2063768.0,20726.5398863708
653186701,Adrian Griffith,BAH,male,11/11/84,1.78,75.0,athletics,0,0,0,388019.0,22817.2308572518
217850967,Adrian Ignacio Carambula Raurich,ITA,male,3/16/88,1.82,83.0,volleyball,0,0,0,60802085.0,29957.8043154372
370799805,Adrian Juhasz,HUN,male,11/18/89,1.88,89.0,rowing,0,0,0,9844686.0,12363.5434596539
714030791,Adrian Oquendo,CUB,male,2/23/90,1.89,87.0,rowing,0,0,0,11389562.0,
915726586,Adrian Portela,ARG,male,3/8/86,1.85,95.0,handball,0,0,0,43416755.0,13431.8783398577
80367651,Adriana Aparecida da Silva,BRA,female,7/22/81,1.66,52.0,athletics,0,0,0,207847528.0,8538.5899749574
593328448,Adriana Araujo,BRA,female,11/4/81,1.67,,boxing,0,0,0,207847528.0,8538.5899749574
770039735,Adriana Diaz,PUR,female,10/31/00,1.6,50.0,table tennis,0,0,0,3474182.0,
228337858,Adriana Martin,ESP,female,4/12/96,1.62,65.0,archery,0,0,0,46418269.0,25831.5823052954
529241363,Adriana Moises,BRA,female,12/6/78,1.7,65.0,basketball,0,0,0,207847528.0,8538.5899749574
439382128,Adrien Bart,FRA,male,9/4/91,1.85,84.0,canoe,0,0,0,66808385.0,36205.5681017036
326016199,Adrien Dipanda,FRA,male,5/3/88,2.02,105.0,handball,0,1,0,66808385.0,36205.5681017036
664737236,Adrien Niyonshuti,RWA,male,1/2/87,1.65,68.0,cycling,0,0,0,11609666.0,697.34822808289
447910544,Adrienne Martelli,USA,female,12/3/87,1.86,77.0,rowing,0,0,0,321418820.0,56115.7184261955
835610998,Adzo Rebecca Kpossi,TOG,female,1/25/99,1.58,53.0,aquatics,0,0,0,7304578.0,559.635876661945
26797739,Ae-Ri Noort,NED,female,1/10/83,1.6,49.0,rowing,0,0,0,16936520.0,44299.768085383
577601340,Afa Ismail,MDV,female,11/1/93,,,athletics,0,0,0,409163.0,8395.78519750383
16830155,Afaf Elhodhod,EGY,female,10/1/96,1.63,75.0,shooting,0,0,0,91508084.0,3614.74676616271
508610852,Afef Ben Ismail,TUN,female,3/17/94,1.73,60.0,canoe,0,0,0,11107800.0,3872.51208364171
477738986,Africa Zamorano Sanz,ESP,female,1/11/98,1.7,58.0,aquatics,0,0,0,46418269.0,25831.5823052954
998446972,Afrodite Zegers,NED,female,12/2/91,1.61,58.0,sailing,0,0,0,16936520.0,44299.768085383
42409524,Agata Forkasiewicz,POL,female,1/13/94,1.68,54.0,athletics,0,0,0,37999494.0,12554.5475536313
28097741,Agatha Bednarczuk,BRA,female,6/22/83,1.82,70.0,volleyball,0,1,0,207847528.0,8538.5899749574
23462736,Ageze Guadie,ISR,male,9/11/89,1.75,56.0,athletics,0,0,0,8380400.0,35728.0934951515
971796358,Aglaia Pezzato,ITA,female,4/22/94,1.75,60.0,aquatics,0,0,0,60802085.0,29957.8043154372
810258362,Agnes Osazuwa,NGR,female,11/26/89,1.62,65.0,athletics,0,0,0,182201962.0,2640.2907388575
107504792,Agnes Raharolahy,FRA,female,11/7/92,1.67,58.0,athletics,0,0,0,66808385.0,36205.5681017036
320335499,Agnese Pastare,LAT,female,10/27/88,1.79,68.0,athletics,0,0,0,1978440.0,13648.5475564772
220410298,Agnete Kirk Thinggaard,DEN,female,5/18/83,1.72,62.0,equestrian,0,0,0,5676002.0,51989.2934712354
726686017,Agnieszka Dygacz,POL,female,7/18/85,1.6,47.0,athletics,0,0,0,37999494.0,12554.5475536313
517578131,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,3/22/83,1.75,69.0,wrestling,0,0,0,37999494.0,12554.5475536313
120505360,Agnieszka Jerzyk,POL,female,1/15/88,1.7,59.0,triathlon,0,0,0,37999494.0,12554.5475536313
665715516,Agnieszka Kobus,POL,female,8/28/90,1.77,68.0,rowing,0,0,1,37999494.0,12554.5475536313
935702937,Agnieszka Nagay,POL,female,2/20/81,1.69,61.0,shooting,0,0,0,37999494.0,12554.5475536313
220520929,Agnieszka Radwanska,POL,female,3/6/89,1.73,59.0,tennis,0,0,0,37999494.0,12554.5475536313
527420548,Agnieszka Skrzypulec,POL,female,6/3/89,1.66,53.0,sailing,0,0,0,37999494.0,12554.5475536313
983479171,Agnieszka Szwarnog,POL,female,12/28/86,1.65,51.0,athletics,0,0,0,37999494.0,12554.5475536313
638298176,Agustin Mazzilli,ARG,male,6/20/89,1.73,77.0,hockey,1,0,0,43416755.0,13431.8783398577
833236523,Agustin Vidal,ARG,male,7/8/87,1.94,100.0,handball,0,0,0,43416755.0,13431.8783398577
794585269,Agustina Albertarrio,ARG,female,1/1/93,1.65,55.0,hockey,0,0,0,43416755.0,13431.8783398577
441542780,Agustina Habif,ARG,female,3/8/92,1.65,55.0,hockey,0,0,0,43416755.0,13431.8783398577
213448220,Ahmad Abughaush,JOR,male,2/1/96,1.78,68.0,taekwondo,1,0,0,7594547.0,4940.04583574111
942902378,Ahmad Amsyar Azman,MAS,male,8/28/92,1.62,62.0,aquatics,0,0,0,30331007.0,9768.32686011881
684631479,Ahmad Hazer,LIB,male,9/4/89,1.88,80.0,athletics,0,0,0,5850743.0,8047.64508557496
67793782,Ahmed Abdelaal,EGY,male,6/8/89,1.88,89.0,volleyball,0,0,0,91508084.0,3614.74676616271
935849614,Ahmed Abdelhay,EGY,male,8/19/84,1.97,87.0,volleyball,0,0,0,91508084.0,3614.74676616271
786273274,Ahmed Abelrahman,EGY,male,5/26/96,1.65,60.0,judo,0,0,0,91508084.0,3614.74676616271
672789779,Ahmed Afifi,EGY,male,3/30/88,1.94,92.0,volleyball,0,0,0,91508084.0,3614.74676616271
873200853,Ahmed Akram,EGY,male,10/20/96,1.88,80.0,aquatics,0,0,0,91508084.0,3614.74676616271
862822782,Ahmed Ali,SUD,male,11/15/93,1.73,75.0,athletics,0,0,0,40234882.0,2414.72360102858
9418987,Ahmed Attellesey,LBA,male,7/30/95,,,aquatics,0,0,0,6278438.0,
180751684,Ahmed Bader Magour,QAT,male,3/3/96,1.9,90.0,athletics,0,0,0,2235355.0,73653.3944346574
364294388,Ahmed Darwish,EGY,male,7/2/81,1.72,80.0,shooting,0,0,0,91508084.0,3614.74676616271
23970897,Ahmed El Kotb,EGY,male,7/23/91,1.97,80.0,volleyball,0,0,0,91508084.0,3614.74676616271
837684987,Ahmed El-Nemr,EGY,male,11/21/78,1.83,84.0,archery,0,0,0,91508084.0,3614.74676616271
635571670,Ahmed Elahmar,EGY,male,1/27/84,1.81,79.0,handball,0,0,0,91508084.0,3614.74676616271
64299896,Ahmed Gebrel,PLE,male,1/22/91,,,aquatics,0,0,0,,
215275770,Ahmed Goumar,NIG,male,2/22/88,1.8,73.0,judo,0,0,0,19899120.0,358.958152040005
663592491,Ahmed Ibrahim,IRQ,male,2/25/92,1.84,80.0,football,0,0,0,36423395.0,4943.76038832056
916701520,Ahmed Kamar,EGY,male,9/19/86,1.75,60.0,shooting,0,0,0,91508084.0,3614.74676616271
114527133,Ahmed Mathlouthi,TUN,male,12/18/89,1.9,90.0,aquatics,0,0,0,11107800.0,3872.51208364171
205324342,Ahmed Mohamed,EGY,male,4/8/96,1.7,73.0,shooting,0,0,0,91508084.0,3614.74676616271
162169475,Ahmed Mohamed,EGY,male,4/27/88,1.85,144.0,weightlifting,0,0,0,91508084.0,3614.74676616271
739968078,Ahmed Mohamed Ibrahim Saad,EGY,male,2/25/89,1.65,85.0,wrestling,0,0,0,91508084.0,3614.74676616271
575397765,Ahmed Ragab,EGY,male,9/29/91,1.74,81.0,sailing,0,0,0,91508084.0,3614.74676616271
101574216,Ahmed Saad,EGY,male,11/1/86,1.6,62.0,weightlifting,0,0,0,91508084.0,3614.74676616271
105465611,Ahmed Shaban,EGY,male,3/8/79,1.9,95.0,shooting,0,0,0,91508084.0,3614.74676616271
585852107,Ahmet Li,TUR,male,1/12/91,1.73,67.0,table tennis,0,0,0,78665830.0,9125.68758972936
696999235,Ahmet Orken,TUR,male,3/12/93,1.77,69.0,cycling,0,0,0,78665830.0,9125.68758972936
47988332,Ahreum Na,KOR,female,3/24/90,1.63,55.0,cycling,0,0,0,50617045.0,27221.5240509661
138385356,Ahymara Espinoza,VEN,female,5/28/85,1.8,99.0,athletics,0,0,0,31108083.0,
730862558,Ai Fukuhara,JPN,female,11/1/88,1.56,48.0,table tennis,0,0,1,126958472.0,32477.2151449234
488478701,Ai Kondo Yoshida,JPN,female,11/5/80,1.61,58.0,sailing,0,0,0,126958472.0,32477.2151449234
975475720,Ai Ueda,JPN,female,10/26/83,1.55,44.0,triathlon,0,0,0,126958472.0,32477.2151449234
544308054,Ai Wen Yu,TPE,female,12/27/95,1.57,52.0,shooting,0,0,0,,
696719880,Aiaal Lazarev,KGZ,male,3/19/86,1.95,125.0,wrestling,0,0,0,5957000.0,1103.2153515202
634178292,Aichen Wang,CHN,male,3/28/85,1.85,75.0,sailing,0,0,0,1371220000.0,8027.68381013907
537808926,Aida Fall,SEN,female,11/10/86,1.93,95.0,basketball,0,0,0,15129273.0,899.579879484977
155951731,Aida Mohamed,HUN,female,3/12/76,1.62,58.0,fencing,0,0,0,9844686.0,12363.5434596539
531077009,Aida Roman,MEX,female,5/21/88,1.69,64.0,archery,0,0,0,127017224.0,9005.02426497766
750356217,Aida Shanaeva,RUS,female,4/23/86,1.73,63.0,fencing,0,0,0,144096812.0,9092.58053606884
248085477,Aidan Roach,AUS,male,9/7/90,1.87,88.0,aquatics,0,0,0,23781169.0,56310.9629933721
743883365,Aika Hakoyama,JPN,female,7/27/91,1.76,62.0,aquatics,0,0,1,126958472.0,32477.2151449234
110469224,Aikaterini Nikolaidou,GRE,female,10/22/92,1.8,70.0,rowing,0,0,0,10823732.0,18002.2305776688
823094336,Aikaterini-Maria Kontochristopoulou,GRE,female,6/10/97,1.68,58.0,fencing,0,0,0,10823732.0,18002.2305776688
574808106,Aiko Hayashi,JPN,female,11/17/93,1.66,56.0,aquatics,0,0,1,126958472.0,32477.2151449234
676958658,Aiko Sugihara,JPN,female,9/19/99,1.46,35.0,gymnastics,0,0,0,126958472.0,32477.2151449234
420613340,Aileen Reid,IRL,female,6/15/82,1.69,53.0,triathlon,0,0,0,4640703.0,61133.672427322
172676108,Ailen Valente,ARG,female,3/26/96,1.67,58.0,gymnastics,0,0,0,43416755.0,13431.8783398577
971329341,Ailly Luciano,NED,female,3/25/91,1.71,69.0,handball,0,0,0,16936520.0,44299.768085383
356290857,Ailun Guo,CHN,male,11/14/93,1.92,85.0,basketball,0,0,0,1371220000.0,8027.68381013907
273034565,Aimee Fisher,NZL,female,1/24/95,1.83,99.0,canoe,0,0,0,4595700.0,37807.9672760442
266091485,Aimee Willmott,GBR,female,2/26/93,1.71,66.0,aquatics,0,0,0,65138232.0,43875.9696143686
912490592,Aina Cid I Centelles,ESP,female,9/1/94,1.7,60.0,rowing,0,0,0,46418269.0,25831.5823052954
674464910,Ainhoa Hernandez,ESP,female,4/27/94,1.8,88.0,handball,0,0,0,46418269.0,25831.5823052954
14183642,Ainhoa Murua,ESP,female,7/18/78,1.6,48.0,triathlon,0,0,0,46418269.0,25831.5823052954
871394696,Ainur Yesbergenova,KAZ,female,2/11/98,1.64,49.0,taekwondo,0,0,0,17544126.0,10509.9810699442
635098552,Airi Hatakeyama,JPN,female,8/16/94,1.71,46.0,gymnastics,0,0,0,126958472.0,32477.2151449234
965051843,Airine Palsyte,LTU,female,7/13/92,1.87,63.0,athletics,0,0,0,2910199.0,14147.0493792403
840071617,Aisen Chen,CHN,male,10/22/95,1.68,60.0,aquatics,2,0,0,1371220000.0,8027.68381013907
704825548,Aisha Praught,JAM,female,12/14/89,1.62,50.0,athletics,0,0,0,2725941.0,5232.02458271187
704391947,Aislin Jones,AUS,female,2/8/00,1.57,51.0,shooting,0,0,0,23781169.0,56310.9629933721
711141982,Anas Beshr,EGY,male,7/19/93,,,athletics,0,0,0,91508084.0,3614.74676616271
273177958,Aisuluu Tynybekova,KGZ,female,5/4/93,1.7,58.0,wrestling,0,0,0,5957000.0,1103.2153515202
191963338,Aitor Martinez Rodriguez,ESP,male,8/22/93,1.83,78.0,aquatics,0,0,0,46418269.0,25831.5823052954
678408880,Aivi Luik,AUS,female,3/18/85,1.63,58.0,football,0,0,0,23781169.0,56310.9629933721
234338084,Ajee Wilson,USA,female,5/8/94,1.73,61.0,athletics,0,0,0,321418820.0,56115.7184261955
374861025,Ajla del Ponte,SUI,female,7/15/96,1.68,56.0,athletics,0,0,0,8286976.0,80945.0792194742
504635619,Ajna Kesely,HUN,female,9/10/01,1.65,54.0,aquatics,0,0,0,9844686.0,12363.5434596539
680600926,Akalani Baravilala,USA,female,7/12/91,1.68,74.0,rugby sevens,0,0,0,321418820.0,56115.7184261955
213555250,Akane Kuroki,JPN,female,8/13/78,1.65,50.0,equestrian,0,0,0,126958472.0,32477.2151449234
58865414,Akane Shibata,JPN,female,4/30/88,1.53,50.0,hockey,0,0,0,126958472.0,32477.2151449234
677730191,Akane Yamaguchi,JPN,female,6/6/97,1.56,55.0,badminton,0,0,0,126958472.0,32477.2151449234
265984930,Akani Simbine,RSA,male,9/21/93,1.76,74.0,athletics,0,0,0,54956920.0,5723.97335690212
285797294,Akashdeep Singh,IND,male,12/2/94,1.78,70.0,hockey,0,0,0,1311050527.0,1598.25903421916
769580282,Akeem Haynes,CAN,male,3/11/92,1.68,71.0,athletics,0,0,1,35851774.0,43248.529909341
194243947,Akela Jones,BAR,female,4/22/95,1.86,77.0,athletics,0,0,0,284215.0,15429.3404640853
58705332,Aki Mitsuhashi,JPN,female,9/12/89,1.66,59.0,hockey,0,0,0,126958472.0,32477.2151449234
921789441,Aki Yazawa,JPN,female,11/5/91,1.56,50.0,canoe,0,0,0,126958472.0,32477.2151449234
327133724,Akihiko Nakamura,JPN,male,10/23/90,1.8,73.0,athletics,0,0,0,126958472.0,32477.2151449234
346354435,Akiko Sato,JPN,female,2/9/84,1.62,58.0,shooting,0,0,0,126958472.0,32477.2151449234
850163240,Akira Ioane,NZL,male,6/16/95,1.94,113.0,rugby sevens,0,0,0,4595700.0,37807.9672760442
816408353,Akira Yanase,JPN,male,8/11/88,1.91,95.0,aquatics,0,0,0,126958472.0,32477.2151449234
